seq1,seq2,distance
1988,4344-10,7.7539
8509,34636-21,5.0204
9329-2,90623,4.6839
4316,21218-12,7.8254
9084-4,53843,6.4255
9270,78589,3.9217
5217,89293,8.1495
7222,7786,6.6066
9011,26960,8.4348
11398,14659,4.4728
10640,62568,3.4804
2939,2978,3.6116
4068-15,47963,5.8572
12445-3,69813,5.154
6849-1,26599,7.5374
6622,50943,6.8282
6217,17796,6.8397
8562,50629,4.6033
1540,22818,7.1627
8584,72900,8.918
3577,9725,2.3696
9778,13706-16,7.6377
1264,31006,6.9099
13556,14745,6.9081
8117,40964,3.4266
8568,52938,7.1562
6472,50596,6.061
925,5139,7.4284
6663,67483,9.9531
3901,29755,3.8408
2770,41379,7.868
12006,15482,4.3493
4088,48805,5.8358
7403,49291,4.949
1177,50562,4.2313
12538-2,32277,8.0867
1352,11687,4.2479
12602,14023-5,9.1658
882,63793,4.2596
9077,9626,3.6066
13311-18,77834,7.9651
3578,83425,4.6093
8586,46836,7.1416
7341,44139,3.0311
3095,75405,3.4501
11771,64030,7.5293
9838,63300,3.0155
4416,38775,3.9694
696-3,81729-8,5.2963
10325,55867-3,8.5465
7520,31565,6.9993
9772,55603,3.4146
8858,25538,5.7049
4484,40523,6.005
10214,34572,3.7211
8282,48000,4.1521
6972,20248,2.7732
10730-2,19758-3,8.6406
6620,23410,3.9571
6689,68347,7.3261
4848,15179,2.8493
12720,51620,3.9596
2973,88462,3.0272
437,53073,3.7036
12137,57619,4.5241
13144,16363,3.9713
10465,14548,2.5189
10140,73019,3.722
6412,60653,6.2246
888,68235,3.127
10124,71414,2.8564
10353,69766,2.5185
8924,90636,2.2401
13358,28033,3.2732
10704,51957,2.7024
3187,13229,3.0004
10972,86560,5.897
11686,68975,4.5752
8339,65982,2.8035
10378,58033,3.5634
1123,20865,2.5894
10500,54378,3.5437
1778,33201,1.7609
11269,24893,2.0379
12137,60246,5.1803
4042,65239,4.7101
3521,91071,6.2934
4186,47715,4.6823
12990,58573,6.1162
264,52296,4.0645
1935,48708,2.125
13619,29770,4.3519
14070,35701,1.2363
11719,91071,1.4032
13317,14588,1.5441
4784,18747,1.1154
11358-33,79045-33,1.2482
5,83153,1.3816
219-15,19514-13,1.1399
11719,46649,1.7397
7079,74586,3.4656
11358-33,47773-32,1.3422
13317,22993,1.6843
10231,46834,2.5018
4136-15,67057-13,1.1528
3300,81739,1.1681
4235,58111,4.0968
8397-5,14922-6,1.0596
11419-14,48936-16,0.782
8319-7,76260-3,1.213
1476,2864,0.992
4228-3,20356-4,0.9191
12820,67391,1.9743
5579-9,70079-6,1.7832
3300,51599,1.2091
9774,45723,3.5777
3958-6,39775-7,1.5212
11358-33,37522-35,1.2202
4445-17,4447-24,1.8339
13619,76856,4.1753
1269-12,73801-10,0.6371
1473,83190,0.0
3300,44720,0.7656
5585,83356,0.3634
5785-1,24469-1,0.4623
6421-11,41597-12,0.8145
6421-11,50030-12,0.7381
11719,71631,1.2158
13156,86455,0.3468
13316,22411,0.0
