"seq1","seq2","percent_sim","sim_group","sim_group2"
"12878","41237",9.80392156862745,"(0-20]","(0-10]"
"9028","47034",9.09090909090909,"(0-20]","(0-10]"
"3294","34302",9.75609756097561,"(0-20]","(0-10]"
"2881","16059-4",6.25,"(0-20]","(0-10]"
"5539","59429",9.09090909090909,"(0-20]","(0-10]"
"4407","20317",9.80392156862745,"(0-20]","(0-10]"
"10931","35572",9.375,"(0-20]","(0-10]"
"3474","84003",8.33333333333333,"(0-20]","(0-10]"
"1151","66613",7.89473684210526,"(0-20]","(0-10]"
"2929","3595",8.88888888888889,"(0-20]","(0-10]"
"6656-1","83483",9.52380952380952,"(0-20]","(0-10]"
"3500","66207",9.375,"(0-20]","(0-10]"
"7470","52246",9.75609756097561,"(0-20]","(0-10]"
"2102","54879",8.88888888888889,"(0-20]","(0-10]"
"3368","21893",8.69565217391304,"(0-20]","(0-10]"
"10562","57799",9.80392156862745,"(0-20]","(0-10]"
"4381","44877",8.82352941176471,"(0-20]","(0-10]"
"6923","65873",8.57142857142857,"(0-20]","(0-10]"
"9903","85471",8.33333333333333,"(0-20]","(0-10]"
"4385","49770",5.71428571428571,"(0-20]","(0-10]"
"12130-5","32332",6.12244897959184,"(0-20]","(0-10]"
"3729","58706",9.375,"(0-20]","(0-10]"
"1579","11025",8.82352941176471,"(0-20]","(0-10]"
"12597","40385",8.57142857142857,"(0-20]","(0-10]"
"11215","21466",9.09090909090909,"(0-20]","(0-10]"
"8483","30893",19.6428571428571,"(0-20]","(10-20]"
"5842","14066-9",19.2307692307692,"(0-20]","(10-20]"
"12955","30553",20,"(0-20]","(10-20]"
"5019","38046",19.3548387096774,"(0-20]","(10-20]"
"5655","82750",18.4615384615385,"(0-20]","(10-20]"
"10263","83774",19.8019801980198,"(0-20]","(10-20]"
"1406","4643",18.3823529411765,"(0-20]","(10-20]"
"9467","71745",13.3333333333333,"(0-20]","(10-20]"
"2935-11","27929-4",20,"(0-20]","(10-20]"
"4135-11","61228",12.781954887218,"(0-20]","(10-20]"
"5355","41102",14.7058823529412,"(0-20]","(10-20]"
"377","50179",16.6666666666667,"(0-20]","(10-20]"
"10351","22896",19.2660550458716,"(0-20]","(10-20]"
"3810","75021",17.9856115107914,"(0-20]","(10-20]"
"5433-1","37563-1",18.4397163120567,"(0-20]","(10-20]"
"1397-2","50227",15,"(0-20]","(10-20]"
"89","13009",15.1515151515152,"(0-20]","(10-20]"
"7861","79001-6",19.1780821917808,"(0-20]","(10-20]"
"9630","21358",11.71875,"(0-20]","(10-20]"
"13551","40623",14.2857142857143,"(0-20]","(10-20]"
"11923","34383",19.2307692307692,"(0-20]","(10-20]"
"6419-4","21756",18.7919463087248,"(0-20]","(10-20]"
"8159-13","86283",20,"(0-20]","(10-20]"
"9754","25652-10",16.3461538461538,"(0-20]","(10-20]"
"1173","49545",19.5121951219512,"(0-20]","(10-20]"
"10624","72401",21.9178082191781,"(20-40]","(20-30]"
"10225","38815",23.0769230769231,"(20-40]","(20-30]"
"2190","29913",21.7391304347826,"(20-40]","(20-30]"
"7051","61942",21.0526315789474,"(20-40]","(20-30]"
"11924","70846",23.8636363636364,"(20-40]","(20-30]"
"866","65178",28.2608695652174,"(20-40]","(20-30]"
"580","43710",23.2142857142857,"(20-40]","(20-30]"
"9614","65308",20.6185567010309,"(20-40]","(20-30]"
"9559","28154",25,"(20-40]","(20-30]"
"3448","56926",20.6349206349206,"(20-40]","(20-30]"
"9184","21645",21.8181818181818,"(20-40]","(20-30]"
"9165","87331",22.3880597014925,"(20-40]","(20-30]"
"2120","25731-5",23.1788079470199,"(20-40]","(20-30]"
"10943","53930-1",21.3740458015267,"(20-40]","(20-30]"
"10042","28070",25.3521126760563,"(20-40]","(20-30]"
"7765-6","64991",22.6950354609929,"(20-40]","(20-30]"
"8278","91913",21.4876033057851,"(20-40]","(20-30]"
"7699","46906",26.3157894736842,"(20-40]","(20-30]"
"4088","48842-3",20.6106870229008,"(20-40]","(20-30]"
"14158","84571",24.6153846153846,"(20-40]","(20-30]"
"4619-1","15758",23.0769230769231,"(20-40]","(20-30]"
"1239","77152",29.8245614035088,"(20-40]","(20-30]"
"2585","21586",20.7317073170732,"(20-40]","(20-30]"
"4495","79865",21.0084033613445,"(20-40]","(20-30]"
"59","70535-4",21.3333333333333,"(20-40]","(20-30]"
"13915","76063",35.1851851851852,"(20-40]","(30-40]"
"546","65323",31.9148936170213,"(20-40]","(30-40]"
"3918","61540",30.952380952381,"(20-40]","(30-40]"
"2861","53743",34.2105263157895,"(20-40]","(30-40]"
"7706","7832",30.952380952381,"(20-40]","(30-40]"
"13569","46001",34.0909090909091,"(20-40]","(30-40]"
"11476","16254",30.2325581395349,"(20-40]","(30-40]"
"11324","91362",30.952380952381,"(20-40]","(30-40]"
"2032","81966",30.952380952381,"(20-40]","(30-40]"
"7371","58656",32.7272727272727,"(20-40]","(30-40]"
"1750","19913",33.3333333333333,"(20-40]","(30-40]"
"5887","16223",30.3571428571429,"(20-40]","(30-40]"
"9318","22065",31.7647058823529,"(20-40]","(30-40]"
"3521","91198",34.1463414634146,"(20-40]","(30-40]"
"10540","83299",32.1428571428571,"(20-40]","(30-40]"
"6291","29885",31.9148936170213,"(20-40]","(30-40]"
"7371","20507",34,"(20-40]","(30-40]"
"6961","65730",30.7692307692308,"(20-40]","(30-40]"
"14073","57894",30.7692307692308,"(20-40]","(30-40]"
"1916","23007",30.0970873786408,"(20-40]","(30-40]"
"10461","34836",30.6451612903226,"(20-40]","(30-40]"
"6533","27259",30.5555555555556,"(20-40]","(30-40]"
"5532","56830",30.188679245283,"(20-40]","(30-40]"
"7842","24771",31.7757009345794,"(20-40]","(30-40]"
"9457","15112",34.0425531914894,"(20-40]","(30-40]"
"7159","28817",41.4634146341463,"(40-60]","(40-50]"
"7775","91331",41.4634146341463,"(40-60]","(40-50]"
"11909","73245",41.4634146341463,"(40-60]","(40-50]"
"5078","63948",40.5405405405405,"(40-60]","(40-50]"
"9014","42471",41.8604651162791,"(40-60]","(40-50]"
"4756","62071",40.9090909090909,"(40-60]","(40-50]"
"10577","72563",40.5405405405405,"(40-60]","(40-50]"
"12990","58573",41.025641025641,"(40-60]","(40-50]"
"13218","59981",41.4141414141414,"(40-60]","(40-50]"
"1603","79715",40.4761904761905,"(40-60]","(40-50]"
"3815","66788",40.4761904761905,"(40-60]","(40-50]"
"12699","76888",40.7407407407407,"(40-60]","(40-50]"
"10271","55220",40.5405405405405,"(40-60]","(40-50]"
"10379","14473",41.025641025641,"(40-60]","(40-50]"
"2575","43437",42.1052631578947,"(40-60]","(40-50]"
"8514","15482",40.4761904761905,"(40-60]","(40-50]"
"4186","47715",40.4761904761905,"(40-60]","(40-50]"
"5081","52550",41.6666666666667,"(40-60]","(40-50]"
"293-3","59795",45.1612903225806,"(40-60]","(40-50]"
"5947","20837",40.5405405405405,"(40-60]","(40-50]"
"10795","23694",40.8163265306122,"(40-60]","(40-50]"
"2973","27372",43.1818181818182,"(40-60]","(40-50]"
"9927","43892",41.6666666666667,"(40-60]","(40-50]"
"6343","33769",40.4761904761905,"(40-60]","(40-50]"
"4836","13707",41.304347826087,"(40-60]","(40-50]"
"9409","69523",55.6962025316456,"(40-60]","(50-60]"
"5548-6","28353-5",56.0975609756098,"(40-60]","(50-60]"
"13588","51477",59.5238095238095,"(40-60]","(50-60]"
"6221","36481",57.1428571428571,"(40-60]","(50-60]"
"6221","17731",54.7619047619048,"(40-60]","(50-60]"
"6221","51456",59.1836734693878,"(40-60]","(50-60]"
"6221","61877",54.1666666666667,"(40-60]","(50-60]"
"4445-17","23764-22",52.1276595744681,"(40-60]","(50-60]"
"3684","17642",56.7567567567568,"(40-60]","(50-60]"
"13588","53180",55.2631578947368,"(40-60]","(50-60]"
"13968-3","66838",51.4925373134328,"(40-60]","(50-60]"
"3024-1","43848-2",55.5555555555556,"(40-60]","(50-60]"
"12114","59227",54.954954954955,"(40-60]","(50-60]"
"13619","38860",51.1627906976744,"(40-60]","(50-60]"
"5579-9","59450-5",57.8231292517007,"(40-60]","(50-60]"
"5548-6","53370-7",55.2631578947368,"(40-60]","(50-60]"
"220-13","25664-16",52.4752475247525,"(40-60]","(50-60]"
"13641-3","22806-1",58.3333333333333,"(40-60]","(50-60]"
"6221","74546",56,"(40-60]","(50-60]"
"6111-8","19795-8",52,"(40-60]","(50-60]"
"8319-7","69540-13",55.6338028169014,"(40-60]","(50-60]"
"4235","83561",54.0983606557377,"(40-60]","(50-60]"
"9774","29567",56.25,"(40-60]","(50-60]"
"4235","59720",50.8196721311475,"(40-60]","(50-60]"
"6","83153",51.0204081632653,"(40-60]","(50-60]"
"9774","45723",64.5833333333333,"(60-80]","(60-70]"
"521","75127",66.6666666666667,"(60-80]","(60-70]"
"8562","9787",61.0169491525424,"(60-80]","(60-70]"
"3300","81739",68.5714285714286,"(60-80]","(60-70]"
"5","83153",60.4166666666667,"(60-80]","(60-70]"
"1921","38396",64.1509433962264,"(60-80]","(60-70]"
"14070","35701",67.8571428571429,"(60-80]","(60-70]"
"13317","14588",67.5,"(60-80]","(60-70]"
"13317","22993",62.1621621621622,"(60-80]","(60-70]"
"4445-17","4447-24",60.5263157894737,"(60-80]","(60-70]"
"4228-3","20356-4",61.744966442953,"(60-80]","(60-70]"
"1935","48708",61.9047619047619,"(60-80]","(60-70]"
"4784","18747",63.265306122449,"(60-80]","(60-70]"
"3300","51599",67.1428571428571,"(60-80]","(60-70]"
"13619","29770",63.1578947368421,"(60-80]","(60-70]"
"11358-33","47773-32",67.6258992805755,"(60-80]","(60-70]"
"13619","76856",65.7142857142857,"(60-80]","(60-70]"
"12116-7","59257-10",60.952380952381,"(60-80]","(60-70]"
"5579-9","70079-6",62.3287671232877,"(60-80]","(60-70]"
"3958-6","39775-7",63.448275862069,"(60-80]","(60-70]"
"8397-5","14922-6",60.1503759398496,"(60-80]","(60-70]"
"4235","58111",62.2950819672131,"(60-80]","(60-70]"
"219-15","19514-13",66.9565217391304,"(60-80]","(60-70]"
"8319-7","76260-3",64.963503649635,"(60-80]","(60-70]"
"4136-15","67057-13",62.5,"(60-80]","(60-70]"
