seq1,seq2,percent_sim
V,L,50.0
V,N,27.184466019417474
V,PDI,31.496062992125985
V,S,28.799999999999997
V,E492,29.565217391304348
V,H47,30.476190476190478
V,I47,29.523809523809526
V,M,36.44859813084112
V,G492,36.53846153846153
L,N,33.33333333333333
L,PDI,27.64227642276423
L,S,27.64227642276423
L,E492,34.234234234234236
L,H47,31.132075471698112
L,I47,27.61904761904762
L,M,28.971962616822427
L,G492,33.33333333333333
N,PDI,29.508196721311474
N,S,27.86885245901639
N,E492,50.98039215686274
N,H47,30.76923076923077
N,I47,26.595744680851062
N,M,28.431372549019606
N,G492,32.97872340425532
PDI,S,80.0
PDI,E492,30.158730158730158
PDI,H47,31.666666666666664
PDI,I47,27.500000000000004
PDI,M,31.451612903225808
PDI,G492,26.666666666666668
S,E492,34.645669291338585
S,H47,30.833333333333336
S,I47,27.500000000000004
S,M,30.0
S,G492,28.333333333333332
E492,H47,39.603960396039604
E492,I47,33.33333333333333
E492,M,36.27450980392157
E492,G492,35.57692307692308
H47,I47,35.36585365853659
H47,M,40.20618556701031
H47,G492,41.75824175824176
I47,M,35.869565217391305
I47,G492,28.57142857142857
M,G492,34.40860215053764
