seq1,seq2,distance
11074,87417-4,4.2626
5304,70846,7.3423
5656,36603,8.5762
1634,46414,6.4572
2901,34187,3.4781
2512-3,83797,8.2122
4445-17,16577,6.7633
1407,21685,6.0122
12662,52821,5.7647
3521,67800,7.5248
10258,86802,3.7286
5185-11,68103,9.0848
9632,15464,7.4756
1956-6,76051,6.0243
1035,48575,5.8977
5189,16531,2.968
546,36605-10,7.9547
9630,44149,7.8299
377,8504,5.2315
9864-2,69774,5.5938
8962,73127,7.8395
4086,15313,8.3133
10847,69974,5.5009
8858,26193-21,5.0959
6518,56932,5.9651
12812,76206,2.5843
7337,22421,5.2711
2636,41921,4.9635
2458,38023,3.0757
9105,68883,8.1038
7626,63876,4.4598
9273-6,69599,7.8793
6166,55486,4.0685
2594,20106,5.4483
6267,82829,5.6233
5740,40173,5.3508
2609,46775,3.7311
7393-1,19908,6.631
89,49941,5.3687
2390,11449-1,8.3744
10795,87078,5.5896
8504,19096,6.2663
4315,10780,2.1991
14158,20837,3.0523
7130-14,34377-13,1.687
11269,20037,1.817
11557,15707,3.8786
13877,36958,4.2439
12664,55401,3.3995
219-15,220-13,1.6783
9540,22986,3.3656
8924,19096,1.5611
153,19931,1.7172
13730,77064,2.7284
9428,69885,2.3106
6160,51607,1.9047
14057,27368,4.1729
6917,20041,2.8451
8042-2,16926,1.4497
10751,65421,2.7543
13619,76856,4.1753
12820,67391,1.9743
8562,9787,3.263
1935,48708,2.125
4228-3,20356-4,0.9191
9774,45723,3.5777
5,83153,1.3816
4136-15,67057-13,1.1528
11719,46649,1.7397
11358-33,37522-35,1.2202
4235,58111,4.0968
1476,2864,0.992
219-15,19514-13,1.1399
11719,91071,1.4032
14070,35701,1.2363
3300,51599,1.2091
11358-33,79045-33,1.2482
5579-9,70079-6,1.7832
11419-14,48936-16,0.782
8397-5,14922-6,1.0596
1269-12,73801-10,0.6371
1473,83190,0.0
3300,44720,0.7656
5585,83356,0.3634
5785-1,24469-1,0.4623
6421-11,41597-12,0.8145
6421-11,50030-12,0.7381
11719,71631,1.2158
13156,86455,0.3468
13316,22411,0.0
